	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Plaur	282.931895853968	2.90808562456072	0.0706491850141135	41.1623378808938	0	0
Hsp90aa1	2674.29412673159	1.42585461063184	0.0343812369808233	41.4718822195703	0	0
H1f0	1654.03619145218	-2.2933218891722	0.0561104520147997	-40.87156326182	0	0
Hsph1	901.473114080868	1.47820869022673	0.0394149370995991	37.5037688501542	7.99588606157982e-308	3.26472027894304e-304
Ccl2	360.834932431217	5.93832076302765	0.164913208554795	36.008763731345	6.10013092399167e-284	1.99254676501264e-280
Lif	126.631592597707	3.27410221245905	0.0996095050892023	32.8693753625924	6.02243995048328e-237	1.63930815452155e-233
Tm4sf1	230.918059986049	2.50314401337541	0.0764475357116655	32.743292377879	3.78285470472136e-235	8.8259404339299e-232
Tnfrsf12a	284.68282526675	2.26092389759322	0.0701322210160002	32.2380193417432	5.17872008521752e-228	1.05723570539716e-224
Epha2	173.430542104145	4.58380663215791	0.151378848674975	30.2803639496545	2.07924481126894e-201	3.77313625084937e-198
Ankrd1	78.5966254076703	2.8366206312613	0.102533526119081	27.6652987430363	1.82694615564226e-168	2.98376846139494e-165
Gprc5a	75.0598031319415	2.80173047603099	0.103934474361278	26.9567002984218	4.76060471484647e-160	7.06819965480659e-157
Pop1	171.277967173726	2.23440527827975	0.0832415936399196	26.8424135167952	1.03427975315213e-158	1.40765474404005e-155
Procr	181.539853165215	2.40225258626912	0.0926686940304403	25.923021915902	3.6643674952681e-148	4.60357307174758e-145
Abcb1b	308.090309148501	1.44981535311478	0.0563854171347513	25.712594262626	8.45191107797869e-146	9.85975798039628e-143
Flna	1301.81017245643	1.37441495447332	0.0538518264840338	25.5221604207021	1.11903220822781e-143	1.21840226831844e-140
Tpm1	672.826626517092	2.09554046463481	0.0872450417664682	24.0190207054289	1.75991528295735e-127	1.79643352507872e-124
Ehd1	548.206207756229	1.31330250784411	0.055397791271056	23.7067666004633	3.07048907686116e-124	2.94983691784097e-121
Ccnd1	180.619279513202	2.20010443996999	0.0947183000926774	23.2278708319015	2.38129675563657e-119	2.16062992294758e-116
Sgk1	264.478420989452	1.5148011320641	0.0661626363999071	22.8951144405459	5.19722361292791e-116	4.46742400243887e-113
Wls	435.940674175611	-1.67045817607513	0.0747219194285707	-22.3556646945075	1.06356469011812e-110	8.46995039308999e-108
Ereg	179.3060153766	3.61994437757221	0.161932817850375	22.3546062226684	1.08908252666477e-110	8.46995039308999e-108
Lamp2	1138.04051345366	-1.21592570896141	0.0550470533126609	-22.0888428315153	4.0462806817384e-108	3.00381164064325e-105
Ptgs1	311.840104675724	3.59891839024167	0.163258905680277	22.0442393341146	1.08488178186797e-107	7.70360402672508e-105
S100a10	326.046633119914	2.18351172043254	0.099587520666963	21.9255555897868	1.48217737282818e-106	1.00862170220958e-103
Edem1	689.742983306031	-1.45770058340706	0.0665419680121666	-21.9064843880261	2.25318247866525e-106	1.47195904966243e-103
Ets1	219.762430363523	1.98939799645825	0.0914646350247912	21.7504612128943	6.83888168592864e-105	4.29586983440717e-102
