"contrast","exploratory","total_genes","sig_up","sig_down","sig_total","dataset"
"DKO_vs_WT",FALSE,19330,1181,1576,2757,"MC38_mouse"
"PPM1B_KO_vs_WT",FALSE,19330,66,365,431,"MC38_mouse"
"PPM1D_KO_vs_WT",FALSE,19330,1461,2014,3475,"MC38_mouse"
"WT_TNF_vs_WT_basal",FALSE,19330,1134,1000,2134,"MC38_mouse"
"PPM1B_KO_TNF_vs_PPM1B_KO_basal",TRUE,19330,1837,1073,2910,"MC38_mouse"
"PPM1B_KO_TNF_vs_WT_TNF",TRUE,19330,139,166,305,"MC38_mouse"
"PPM1B_KO_TNF_vs_WT_basal",TRUE,19330,1626,1239,2865,"MC38_mouse"
"PPM1D_KO_TNF_vs_PPM1B_KO_TNF",TRUE,19330,957,761,1718,"MC38_mouse"
"PPM1D_KO_TNF_vs_PPM1D_KO_basal",TRUE,19330,1582,1234,2816,"MC38_mouse"
"PPM1D_KO_TNF_vs_WT_TNF",TRUE,19330,686,715,1401,"MC38_mouse"
"PPM1D_KO_TNF_vs_WT_basal",TRUE,19330,1477,1542,3019,"MC38_mouse"
