module,category,genotype,tnf,mean_score,sd_score,n
DDR,Senescence,WT,basal,-0.03640747419935768,0.09549383045536543,3
DDR,Senescence,WT,TNF12h,0.420351245873343,NA,1
DDR,Senescence,PPM1D_KO,basal,-0.12092209437330972,0.0076828330732802335,3
DDR,Senescence,PPM1D_KO,TNF12h,0.2802367551839541,NA,1
DDR,Senescence,PPM1B_KO,basal,-0.22036915994299058,0.16611627384882455,3
DDR,Senescence,PPM1B_KO,TNF12h,0.3055407635699383,NA,1
DDR,Senescence,DKO,basal,0.06348371045986845,0.031074339370625245,2
SASP,Senescence,WT,basal,-0.22025565743561748,0.09357022655853822,3
SASP,Senescence,WT,TNF12h,0.46528470097222235,NA,1
SASP,Senescence,PPM1D_KO,basal,-0.40398394340894583,0.05307546687377741,3
SASP,Senescence,PPM1D_KO,TNF12h,1.4463961939674874,NA,1
SASP,Senescence,PPM1B_KO,basal,-0.1399013840239337,0.04911993570878226,3
SASP,Senescence,PPM1B_KO,TNF12h,0.055185351769315195,NA,1
SASP,Senescence,DKO,basal,0.16277835394823292,0.07869420139427566,2
Sen_Core,Senescence,WT,basal,0.027570791688213313,0.11684663927851374,3
Sen_Core,Senescence,WT,TNF12h,0.005945225556571998,NA,1
Sen_Core,Senescence,PPM1D_KO,basal,-0.21257915638128694,0.02474809007198809,3
Sen_Core,Senescence,PPM1D_KO,TNF12h,0.44538510284262256,NA,1
Sen_Core,Senescence,PPM1B_KO,basal,-0.10279716052553098,0.28835706222192875,3
Sen_Core,Senescence,PPM1B_KO,TNF12h,-0.19114878996880524,NA,1
Sen_Core,Senescence,DKO,basal,0.30161751861271296,0.1181572434914132,2
Sen_OIS,Senescence,WT,basal,-0.28703967770873384,0.23655513983526974,3
Sen_OIS,Senescence,WT,TNF12h,0.39495589234416717,NA,1
Sen_OIS,Senescence,PPM1D_KO,basal,-0.326594469554201,0.07033106947723747,3
Sen_OIS,Senescence,PPM1D_KO,TNF12h,1.0223276888654298,NA,1
Sen_OIS,Senescence,PPM1B_KO,basal,-0.2684543641526762,0.062316245853365725,3
Sen_OIS,Senescence,PPM1B_KO,TNF12h,0.22496847580426144,NA,1
Sen_OIS,Senescence,DKO,basal,0.5020067386164886,0.11472728290399604,2
Sen_Mito,Senescence,WT,basal,0.25734591538700796,0.1941148582372321,3
Sen_Mito,Senescence,WT,TNF12h,-0.4161107616384895,NA,1
Sen_Mito,Senescence,PPM1D_KO,basal,-0.19125317997052965,0.040051743482574995,3
Sen_Mito,Senescence,PPM1D_KO,TNF12h,-0.1997137670649033,NA,1
Sen_Mito,Senescence,PPM1B_KO,basal,0.08429523558495905,0.03815918894624803,3
