sample,score,signature,n_genes,genotype,tnf,group,n_replicates,exploratory,condition
BD01,0.13314674418134542,Aging_DNAmAge,16,WT,basal,WT_basal,3,FALSE,WT
BD03,-0.10860939475599342,Aging_DNAmAge,16,WT,basal,WT_basal,3,FALSE,WT
BD04,0.2831314741416437,Aging_DNAmAge,16,WT,basal,WT_basal,3,FALSE,WT
BD02,-0.02851897165085468,Aging_DNAmAge,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD05,-0.13787127640675495,Aging_DNAmAge,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD20,-0.14662980047766033,Aging_DNAmAge,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD06,0.11952412408556512,Aging_DNAmAge,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD07,0.25022981830733754,Aging_DNAmAge,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD08,-0.3172793017653793,Aging_DNAmAge,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD09,-0.22109175650553056,Aging_DNAmAge,16,DKO,basal,DKO_basal,2,FALSE,DKO
BD57,0.06199145584096703,Aging_DNAmAge,16,DKO,basal,DKO_basal,2,FALSE,DKO
BD12,0.057148886461461976,Aging_DNAmAge,16,WT,TNF12h,WT_TNF12h,1,TRUE,WT_TNF
BD13,-0.23650451036080639,Aging_DNAmAge,16,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,PPM1D_KO_TNF
BD14,0.2913325089046579,Aging_DNAmAge,16,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,PPM1B_KO_TNF
BD01,0.30688257357751536,Aging_LongevityUp,16,WT,basal,WT_basal,3,FALSE,WT
BD03,0.05161074207350397,Aging_LongevityUp,16,WT,basal,WT_basal,3,FALSE,WT
