sample_id,score,signature,n_genes,genotype,tnf,n_replicates,exploratory
BD01,0.7037612745142312,Aging_DNAmAge,16,WT,basal,3,FALSE
BD03,-0.1358856827342939,Aging_DNAmAge,16,WT,basal,3,FALSE
BD04,1.4124165296579945,Aging_DNAmAge,16,WT,basal,3,FALSE
BD02,-0.7116576586168687,Aging_DNAmAge,16,PPM1D_KO,basal,3,FALSE
BD05,-1.3210300172274922,Aging_DNAmAge,16,PPM1D_KO,basal,3,FALSE
BD20,-1.1348602227089597,Aging_DNAmAge,16,PPM1D_KO,basal,3,FALSE
BD06,0.8548296631266681,Aging_DNAmAge,16,PPM1B_KO,basal,3,FALSE
BD07,1.2439482188586213,Aging_DNAmAge,16,PPM1B_KO,basal,3,FALSE
BD08,-1.3187541996662173,Aging_DNAmAge,16,PPM1B_KO,basal,3,FALSE
BD09,-1.0177527311624521,Aging_DNAmAge,16,DKO,basal,2,FALSE
BD57,0.22135759564991359,Aging_DNAmAge,16,DKO,basal,2,FALSE
BD12,0.41426861743865534,Aging_DNAmAge,16,WT,TNF12h,1,TRUE
BD13,-0.431944753947846,Aging_DNAmAge,16,PPM1D_KO,TNF12h,1,TRUE
BD14,1.2213033668181914,Aging_DNAmAge,16,PPM1B_KO,TNF12h,1,TRUE
BD01,0.6838206542583014,Aging_LongevityUp,16,WT,basal,3,FALSE
BD03,0.3199504573927248,Aging_LongevityUp,16,WT,basal,3,FALSE
BD04,-0.4325210891742615,Aging_LongevityUp,16,WT,basal,3,FALSE
BD02,0.8233075818574656,Aging_LongevityUp,16,PPM1D_KO,basal,3,FALSE
BD05,0.7699175819148735,Aging_LongevityUp,16,PPM1D_KO,basal,3,FALSE
BD20,0.7661859780049978,Aging_LongevityUp,16,PPM1D_KO,basal,3,FALSE
BD06,0.7970532517879949,Aging_LongevityUp,16,PPM1B_KO,basal,3,FALSE
BD07,0.9895613487281743,Aging_LongevityUp,16,PPM1B_KO,basal,3,FALSE
BD08,1.1205838255374327,Aging_LongevityUp,16,PPM1B_KO,basal,3,FALSE
BD09,-1.1086283929127276,Aging_LongevityUp,16,DKO,basal,2,FALSE
BD57,-1.8590184600165538,Aging_LongevityUp,16,DKO,basal,2,FALSE
BD12,-0.809209026255095,Aging_LongevityUp,16,WT,TNF12h,1,TRUE
BD13,-1.1907664971212724,Aging_LongevityUp,16,PPM1D_KO,TNF12h,1,TRUE
BD14,-0.8702372140019831,Aging_LongevityUp,16,PPM1B_KO,TNF12h,1,TRUE
BD01,-0.2909911258703581,Aging_LongevityDn,12,WT,basal,3,FALSE
BD03,-0.3220013506729421,Aging_LongevityDn,12,WT,basal,3,FALSE
BD04,-0.19606724046243904,Aging_LongevityDn,12,WT,basal,3,FALSE
BD02,0.2908626014137625,Aging_LongevityDn,12,PPM1D_KO,basal,3,FALSE
BD05,0.6464820280439565,Aging_LongevityDn,12,PPM1D_KO,basal,3,FALSE
BD20,0.1113195748218374,Aging_LongevityDn,12,PPM1D_KO,basal,3,FALSE
BD06,-1.074985627002885,Aging_LongevityDn,12,PPM1B_KO,basal,3,FALSE
BD07,-0.9266029178194626,Aging_LongevityDn,12,PPM1B_KO,basal,3,FALSE
BD08,-1.6956351120265694,Aging_LongevityDn,12,PPM1B_KO,basal,3,FALSE
BD09,-0.46340635558406756,Aging_LongevityDn,12,DKO,basal,2,FALSE
BD57,2.1005816774891852,Aging_LongevityDn,12,DKO,basal,2,FALSE
BD12,-0.2265813091963641,Aging_LongevityDn,12,WT,TNF12h,1,TRUE
BD13,1.5690469035739791,Aging_LongevityDn,12,PPM1D_KO,TNF12h,1,TRUE
BD14,0.4779782532924712,Aging_LongevityDn,12,PPM1B_KO,TNF12h,1,TRUE
BD01,-0.5660012942012704,Senescence_SASP,21,WT,basal,3,FALSE
BD03,-0.6279794218319382,Senescence_SASP,21,WT,basal,3,FALSE
BD04,-0.7439026108062223,Senescence_SASP,21,WT,basal,3,FALSE
BD02,-0.657079993305102,Senescence_SASP,21,PPM1D_KO,basal,3,FALSE
BD05,-0.6146859258114008,Senescence_SASP,21,PPM1D_KO,basal,3,FALSE
BD20,-0.6371434416004277,Senescence_SASP,21,PPM1D_KO,basal,3,FALSE
BD06,-0.5272436663326218,Senescence_SASP,21,PPM1B_KO,basal,3,FALSE
BD07,-0.6029192222815425,Senescence_SASP,21,PPM1B_KO,basal,3,FALSE
BD08,-0.44079678034683634,Senescence_SASP,21,PPM1B_KO,basal,3,FALSE
BD09,0.3852647519263105,Senescence_SASP,21,DKO,basal,2,FALSE
BD57,0.3713411335310557,Senescence_SASP,21,DKO,basal,2,FALSE
BD12,1.2394842726633921,Senescence_SASP,21,WT,TNF12h,1,TRUE
BD13,2.7118352984056053,Senescence_SASP,21,PPM1D_KO,TNF12h,1,TRUE
BD14,0.7098268999910041,Senescence_SASP,21,PPM1B_KO,TNF12h,1,TRUE
BD01,0.2914500784861284,Senescence_DDR,16,WT,basal,3,FALSE
BD03,-0.06818362606563685,Senescence_DDR,16,WT,basal,3,FALSE
BD04,0.6388709457898014,Senescence_DDR,16,WT,basal,3,FALSE
BD02,-1.1442999997829046,Senescence_DDR,16,PPM1D_KO,basal,3,FALSE
BD05,-1.1408932906897227,Senescence_DDR,16,PPM1D_KO,basal,3,FALSE
BD20,-1.172128289423136,Senescence_DDR,16,PPM1D_KO,basal,3,FALSE
BD06,-0.170992303553958,Senescence_DDR,16,PPM1B_KO,basal,3,FALSE
BD07,-0.1920715371249028,Senescence_DDR,16,PPM1B_KO,basal,3,FALSE
BD08,-1.4560923619427888,Senescence_DDR,16,PPM1B_KO,basal,3,FALSE
BD09,0.04003297761210721,Senescence_DDR,16,DKO,basal,2,FALSE
BD57,0.28064982214959494,Senescence_DDR,16,DKO,basal,2,FALSE
BD12,1.9499826560009226,Senescence_DDR,16,WT,TNF12h,1,TRUE
BD13,0.797518478110745,Senescence_DDR,16,PPM1D_KO,TNF12h,1,TRUE
BD14,1.3461564504338652,Senescence_DDR,16,PPM1B_KO,TNF12h,1,TRUE
BD01,-0.07858999584837818,Inflammaging,18,WT,basal,3,FALSE
BD03,-0.064029184839891,Inflammaging,18,WT,basal,3,FALSE
BD04,-0.34506989183027503,Inflammaging,18,WT,basal,3,FALSE
BD02,-0.9220416232372621,Inflammaging,18,PPM1D_KO,basal,3,FALSE
BD05,-0.9462695111734001,Inflammaging,18,PPM1D_KO,basal,3,FALSE
BD20,-1.011732556611662,Inflammaging,18,PPM1D_KO,basal,3,FALSE
BD06,-0.5658662757573868,Inflammaging,18,PPM1B_KO,basal,3,FALSE
BD07,-0.5228139942376351,Inflammaging,18,PPM1B_KO,basal,3,FALSE
BD08,-0.5505191007147382,Inflammaging,18,PPM1B_KO,basal,3,FALSE
BD09,0.9182321233694211,Inflammaging,18,DKO,basal,2,FALSE
BD57,-0.5951835412345499,Inflammaging,18,DKO,basal,2,FALSE
BD12,1.6378154290181823,Inflammaging,18,WT,TNF12h,1,TRUE
BD13,2.1085902830662335,Inflammaging,18,PPM1D_KO,TNF12h,1,TRUE
BD14,0.9374778400313449,Inflammaging,18,PPM1B_KO,TNF12h,1,TRUE
BD01,1.2692957653243266,cGAS_STING,11,WT,basal,3,FALSE
BD03,1.2178975325079213,cGAS_STING,11,WT,basal,3,FALSE
BD04,0.8566198150566366,cGAS_STING,11,WT,basal,3,FALSE
BD02,-1.261735031993718,cGAS_STING,11,PPM1D_KO,basal,3,FALSE
BD05,-1.073834158584234,cGAS_STING,11,PPM1D_KO,basal,3,FALSE
BD20,-1.127528189180053,cGAS_STING,11,PPM1D_KO,basal,3,FALSE
BD06,0.041525652839058125,cGAS_STING,11,PPM1B_KO,basal,3,FALSE
BD07,-0.015388948126042086,cGAS_STING,11,PPM1B_KO,basal,3,FALSE
BD08,-0.03993742056480021,cGAS_STING,11,PPM1B_KO,basal,3,FALSE
BD09,1.5802403925737127,cGAS_STING,11,DKO,basal,2,FALSE
BD57,-0.9538090945412755,cGAS_STING,11,DKO,basal,2,FALSE
BD12,-0.08400240891836235,cGAS_STING,11,WT,TNF12h,1,TRUE
BD13,0.7047498792221352,cGAS_STING,11,PPM1D_KO,TNF12h,1,TRUE
BD14,-1.1140937856153135,cGAS_STING,11,PPM1B_KO,TNF12h,1,TRUE
