"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","contrast","class","is_target","sig"
"Ptprn",17.1818181818182,0.350497555211218,0.520258472223031,0.673698889925932,0.500502767762902,0.619164291814945,"genotype_PPM1D_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ptpn4",75.0909090909091,0.573941253780373,0.227276790827118,2.52529636524545,0.0115600755424869,0.0304271164382005,"genotype_PPM1D_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Dusp10",19.2727272727273,-0.921997003513397,0.401020127068957,-2.29912899946505,0.0214976152273593,0.0506335287384178,"genotype_PPM1D_KO_vs_WT","DUSP",FALSE,"NS"
"Ptpn14",92.5454545454545,0.393914327704944,0.200730223647004,1.96240665978466,0.0497151580256799,0.102671246576355,"genotype_PPM1D_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ptprj",33.5454545454545,-0.237038946177552,0.314348334001952,-0.754064585486493,0.450810441303761,0.573367227365414,"genotype_PPM1D_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Acp2",39.2727272727273,0.689071052868169,0.276407257882762,2.49295571377665,0.0126684646064244,0.0328989927777344,"genotype_PPM1D_KO_vs_WT","ACP/ALP",FALSE,"NS"
"Ptpra",171.181818181818,-0.0748538804258738,0.172755475535283,-0.433293822924796,0.664801325119623,0.76190153804923,"genotype_PPM1D_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ptprt",121.818181818182,-3.45943108139177,0.273194308452904,-12.6628958743046,9.49317349488161e-37,5.18417683996678e-34,"genotype_PPM1D_KO_vs_WT","PTPR (receptor)",FALSE,"Down"
"Ptpn1",188,-0.219845659367096,0.145635149917839,-1.50956454874474,0.131154573024197,0.222436511937624,"genotype_PPM1D_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ppp3ca",610.181818181818,1.36795668220352,0.140669052856781,9.72464557358098,2.36728357843829e-22,2.53719701659162e-20,"genotype_PPM1D_KO_vs_WT","PPP",FALSE,"Up"
"Ptpn3",35.5454545454545,0.0746390414600204,0.293396635121281,0.254396378571851,0.799189348441049,0.864380060910616,"genotype_PPM1D_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ptpru",8.27272727272727,-0.881354133943576,0.591238134929481,-1.49069229786522,0.136042299173481,0.228992781292881,"genotype_PPM1D_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ptpn12",121.090909090909,0.456149117387789,0.166387052323739,2.74149407070605,0.00611604645994178,0.0179797028460939,"genotype_PPM1D_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ppm1g",577,-0.618147010256621,0.140236011693615,-4.40790495102741,1.04375328553939e-05,7.3524340777431e-05,"genotype_PPM1D_KO_vs_WT","PPM/PP2C",FALSE,"NS"
"Ppp1cb",815.727272727273,0.0215470014103907,0.110584869488439,0.19484583659651,0.84551363750077,0.897484627141158,"genotype_PPM1D_KO_vs_WT","PPP",FALSE,"NS"
"Ssh1",53.9090909090909,-0.281412716634279,0.2788891434897,-1.00904866038528,0.312951297914964,0.437673839571806,"genotype_PPM1D_KO_vs_WT","Slingshot",FALSE,"NS"
"Ptpn11",440.727272727273,-0.170577994855915,0.12894393583285,-1.32288497131835,0.185873633882149,0.293406584082654,"genotype_PPM1D_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ppp1cc",435,-0.156435272355154,0.123955367413137,-1.2620290320609,0.206938339855345,0.317948671149665,"genotype_PPM1D_KO_vs_WT","PPP",FALSE,"NS"
"Dusp16",59.0909090909091,1.18259153765664,0.278811050246631,4.24155189190148,2.21979551368505e-05,0.000143175562153769,"genotype_PPM1D_KO_vs_WT","DUSP",FALSE,"Up"
"Ptpre",46.7272727272727,-0.717600053331247,0.265894880255157,-2.69881109648529,0.00695876638561336,0.0199507832275535,"genotype_PPM1D_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ppp2cb",337.545454545455,-0.155860701772352,0.150742517786811,-1.03395315442973,0.301158063773958,0.424837209433989,"genotype_PPM1D_KO_vs_WT","PPP",FALSE,"NS"
"Dusp4",857.909090909091,2.25552139491036,0.380784581565391,5.92335274090667,3.15443205506114e-09,5.07363629837885e-08,"genotype_PPM1D_KO_vs_WT","DUSP",FALSE,"Up"
"Acp5",11.0909090909091,2.18762517071316,0.715439575052625,3.05773575714238,0.00223016136410899,0.00783562822414275,"genotype_PPM1D_KO_vs_WT","ACP/ALP",FALSE,"Up"
"Ptpn9",60.3636363636364,1.70587737245063e-07,0.250840123780476,6.80065591876178e-07,0.999999457386164,0.999999667617197,"genotype_PPM1D_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ptpn23",264.727272727273,1.26902255808145,0.176357174810397,7.19575236701195,6.2117277637385e-13,1.93051745242691e-11,"genotype_PPM1D_KO_vs_WT","PTPN (non-receptor)",FALSE,"Up"
"Ptprk",190.818181818182,-0.521197787656953,0.191850818853107,-2.71668263274922,0.00659398036339298,0.0191252203478819,"genotype_PPM1D_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Dusp6",39.1818181818182,-1.12553057762409,0.320633839771406,-3.51032997149188,0.000447550931436676,0.00198396369606332,"genotype_PPM1D_KO_vs_WT","DUSP",FALSE,"Down"
"Ptprq",58.5454545454545,0.639002460271738,0.257487371045338,2.48168466545578,0.0130762935620535,0.0337780896114963,"genotype_PPM1D_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ppm1h",47.2727272727273,1.06356528325404,0.269786797894186,3.94224362183647,8.07229192091131e-05,0.000448947835834194,"genotype_PPM1D_KO_vs_WT","PPM/PP2C",FALSE,"Up"
"Ppp2ca",1002,0.00510874296700239,0.0965530058043689,0.0529112783640676,0.95780259815046,0.973420790108958,"genotype_PPM1D_KO_vs_WT","PPP",FALSE,"NS"
"Ssh2",47.6363636363636,-0.0271359218654457,0.253248248215177,-0.107151469187614,0.914668815661317,0.945759803264267,"genotype_PPM1D_KO_vs_WT","Slingshot",FALSE,"NS"
"Ppm1d",52.3636363636364,-1.93763376616002,0.268340862679887,-7.22079278872818,5.16853586395169e-13,1.62837278263181e-11,"genotype_PPM1D_KO_vs_WT","PPM/PP2C",TRUE,"Down"
"Acp1",296.636363636364,-0.303322776572993,0.13790437851262,-2.19951519918735,0.0278413095979011,0.0631745426333063,"genotype_PPM1D_KO_vs_WT","ACP/ALP",FALSE,"NS"
"Ppm1a",386.909090909091,0.285164506712194,0.152655548924047,1.86802581840032,0.0617584722744084,0.121859284246888,"genotype_PPM1D_KO_vs_WT","PPM/PP2C",FALSE,"NS"
"Ptpn21",131.818181818182,1.29602632426957,0.199440421930006,6.49831318911076,8.12255740259212e-11,1.78106096162383e-09,"genotype_PPM1D_KO_vs_WT","PTPN (non-receptor)",FALSE,"Up"
"Ptprg",80.8181818181818,0.819918544862717,0.266729936762933,3.07396520545594,0.00211234067230478,0.00749051417130217,"genotype_PPM1D_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
